,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,lay_summarization,use_togetherai,use_openai,device_map,load_in_4bit,load_in_8bit,eval_metrics,method,exec_kwargs,model_hf_key,batch_size,max_new_tokens,few_shot_examples,max_length,min_input_size,max_sample_size,samples,preview,split,dataset_name,run_id,model,prompt,bert_precision,bert_recall,bert_f1,rouge1,rouge2,rougeL,rougeLsum,vocab_overlap,Relevance,Coherence,Consistency,Fluency,fs_wiki,fs_grounded
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,8192,0,100,max,False,test,pubmed,/home/esor/Desktop/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_pubmed_test_2024-10-29_20-24-35/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_pubmed_test_2024-10-29_20-24-35.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8451592725515366,0.8497091805934907,0.8472490000724793,0.3784560240544243,0.135888356448625,0.213662303151192,0.3121737850206325,21.82984607017017,4.15,3.95,4.44,3.0,0.0,0.9666245156367764
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,8192,0,100,max,False,test,govreport,/home/esor/Desktop/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_govreport_test_2024-10-29_22-20-44/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_govreport_test_2024-10-29_22-20-44.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8719064646959305,0.8513292908668518,0.8614235347509385,0.4147326448652556,0.1795232065165202,0.2260332171367803,0.2711502928220632,26.1276014324234,3.42,3.39,3.46,2.98,0.0,0.9616459376269754
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,True,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,8192,0,100,max,False,test,wispermed,/home/esor/Desktop/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_wispermed_test_2024-10-30_00-06-11/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_wispermed_test_2024-10-30_00-06-11.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8537901818752289,0.8497839325666428,0.8516950613260269,0.4541581306899197,0.1498310186092768,0.2332651111371019,0.276590057171133,21.887086575580835,3.85,3.85,3.79,3.0,0.0,0.9538359032521424
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,test,arxiv,/home/esor/Desktop/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_arxiv_test_2024-10-30_02-19-35/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_arxiv_test_2024-10-30_02-19-35.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8371114236116409,0.8377139949798584,0.837260992527008,0.3708997602353639,0.1289370629769906,0.2119253017306124,0.3137826066270367,22.830383500954778,4.01,3.97,4.08,3.0,0.0,0.9508739131145728
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,test,bigpatent,/home/esor/Desktop/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_bigpatent_test_2024-10-30_05-51-05/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_bigpatent_test_2024-10-30_05-51-05.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8313118880987167,0.8817125314474106,0.855647684931755,0.2667797654134522,0.1089286253356318,0.1860418350327686,0.2086270567366406,20.99859378479349,4.05,4.02,4.43,3.0,0.0,0.9742458034933588
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,,,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,test,billsum,/home/esor/Desktop/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_billsum_test_2024-10-30_07-47-34/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_billsum_test_2024-10-30_07-47-34.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8634775125980377,0.8829920262098312,0.8728068375587463,0.5059831074712502,0.2599804313076249,0.3341599970090217,0.4099136819919421,24.243638693257495,4.28,4.0,4.46,3.0,0.0,0.962216613620726
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,train,arxiv,/Users/anumafzal/PycharmProjects/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_arxiv_train_2024-10-30_10-15-28/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_arxiv_train_2024-10-30_10-15-28.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8353504115343093,0.8342202997207642,0.8344744801521301,0.3075635676606064,0.0969442885609252,0.1847557307176148,0.2378216682664396,23.147561440810733,4.09,3.87,4.21,3.0,0.0,0.9381054023658923
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,,,,,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,train,cnndm,/Users/anumafzal/PycharmProjects/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_cnndm_train_2024-10-30_12-40-35/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_cnndm_train_2024-10-30_12-40-35.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8775618952512741,0.8856431531906128,0.8813673269748687,0.3707189723959821,0.1467517226665982,0.2667341070213216,0.2667161554095387,19.986949290532497,2.07,0.87,1.85,3.0,0.0,0.6094931891957251
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,,,,,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,train,govreport,/Users/anumafzal/PycharmProjects/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_govreport_train_2024-10-30_13-32-37/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_govreport_train_2024-10-30_13-32-37.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8660331088304519,0.8657244491577148,0.8656413030624389,0.4786932261999886,0.2138615185242635,0.2708919663164526,0.3156258403805579,25.482177779002132,4.01,3.89,4.07,3.0,0.0,0.9431835826263698
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,,,,,,,,False,True,False,auto,False,False,"['bertscore', 'rogue', 'vocab_overlap', 'llm_eval', 'fact_score']",,{},meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,256,False,4096,0,100,max,False,train,samsum,/Users/anumafzal/PycharmProjects/domain-adaptation/results/summarization_csv/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_samsum_train_2024-10-30_15-59-15/MODEL_meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo_0-SHOT_samsum_train_2024-10-30_15-59-15.csv,meta-llama-Meta-Llama-3.1-8B-Instruct-Turbo,"Proceed to summarize the following text. 
 TEXT : {} 
 Summary: 
",0.8604873645305634,0.9195656508207322,0.8889066821336746,0.2919408638510552,0.1038414433226202,0.2627905342842159,0.2626792036129907,17.574550482513764,0.99,0.06,0.18,2.93,0.0,0.3065625874531371
